,id,proprietary_institution,address,line,area,유형분류,현재 사용현황,향후 사용계획 및 추진사항,capacity,land_category,realty_price,sys_connection,insolation,generation_quantity,economic_feasibility
0,5409,영남본부,부산광역시 부산진구 부암동 681-5,경부선,506.0,활용,미사용,없음,38,철도용지,462000,가능,46.3,875271,159701
1,5410,영남본부,부산광역시 부산진구 부암동 682-10,경부선,3.0,활용,미사용,없음,0,대,462000,가능,46.3,0,0
2,5411,영남본부,부산광역시 부산진구 부암동 682ㅡ9,경부선,17.0,활용,미사용,없음,,,,,,,
3,5420,영남본부,부산광역시 부산진구 부암동 686ㅡ1,경부선,3349.0,활용,미사용,없음,,,,,,,
4,18970,강원본부,충청북도 제천시 고명동 340ㅡ1,중앙선,2396.0,활용,미사용,계획 없음,,,,,,,
5,18971,강원본부,충청북도 제천시 고명동 341ㅡ2,중앙선,43.0,활용,미사용,계획 없음,,,,,,,
6,18972,강원본부,충청북도 제천시 고명동 341ㅡ4,중앙선,60.0,활용,미사용,계획 없음,,,,,,,
7,18974,강원본부,충청북도 제천시 고명동 371ㅡ1,중앙선,182.0,활용,미사용,계획 없음,,,,,,,
8,18975,강원본부,충청북도 제천시 고명동 371ㅡ4,중앙선,704.0,활용,미사용,계획 없음,,,,,,,
9,18976,강원본부,충청북도 제천시 고명동 372ㅡ1,중앙선,89.0,활용,미사용,계획 없음,,,,,,,
10,18977,강원본부,충청북도 제천시 고명동 372ㅡ3,중앙선,50.0,활용,미사용,계획 없음,,,,,,,
11,18978,강원본부,충청북도 제천시 고명동 373ㅡ2,중앙선,2708.0,활용,미사용,계획 없음,,,,,,,
12,18979,강원본부,충청북도 제천시 고명동 378ㅡ2,중앙선,2357.0,활용,미사용,계획 없음,,,,,,,
13,18980,강원본부,충청북도 제천시 고명동 378ㅡ3,중앙선,218.0,활용,미사용,계획 없음,,,,,,,
14,18981,강원본부,충청북도 제천시 고명동 378ㅡ5,중앙선,407.0,활용,미사용,계획 없음,,,,,,,
15,18982,강원본부,충청북도 제천시 고명동 381ㅡ2,중앙선,1884.0,활용,미사용,계획 없음,,,,,,,
16,18983,강원본부,충청북도 제천시 고명동 386ㅡ3,중앙선,99.0,활용,미사용,계획 없음,,,,,,,
17,18984,강원본부,충청북도 제천시 고명동 881ㅡ1,중앙선,73.0,활용,미사용,계획 없음,,,,,,,
18,18986,강원본부,충청북도 제천시 고명동 산 36ㅡ2,중앙선,2083.0,활용,미사용,계획 없음,,,,,,,
19,18987,강원본부,충청북도 제천시 고명동 산 36ㅡ3,중앙선,198.0,활용,미사용,계획 없음,,,,,,,
20,18988,강원본부,충청북도 제천시 고명동 산 48ㅡ3,중앙선,2182.0,활용,미사용,계획 없음,,,,,,,
21,18989,강원본부,충청북도 제천시 고명동 산 48ㅡ5,중앙선,496.0,활용,미사용,계획 없음,,,,,,,
22,18990,강원본부,충청북도 제천시 고명동 산 49ㅡ3,중앙선,2876.0,활용,미사용,계획 없음,,,,,,,
23,18991,강원본부,충청북도 제천시 고명동 산 49ㅡ5,중앙선,496.0,활용,미사용,계획 없음,,,,,,,
24,18992,강원본부,충청북도 제천시 고명동 산 49ㅡ6,중앙선,1091.0,활용,미사용,계획 없음,,,,,,,
25,18993,강원본부,충청북도 제천시 고명동 산 49ㅡ7,중앙선,496.0,활용,미사용,계획 없음,,,,,,,
26,18994,강원본부,충청북도 제천시 대랑동 175ㅡ1,중앙선,321.0,활용,미사용,계획 없음,,,,,,,
27,18995,강원본부,충청북도 제천시 대랑동 185ㅡ2,중앙선,500.0,활용,미사용,계획 없음,,,,,,,
28,18997,강원본부,충청북도 제천시 대랑동 192,중앙선,1257.0,활용,미사용,계획 없음,,,,,,,
29,19001,강원본부,충청북도 제천시 대랑동 223ㅡ6,중앙선,995.0,활용,미사용,계획 없음,,,,,,,
30,19003,강원본부,충청북도 제천시 대랑동 254ㅡ2,중앙선,4367.0,활용,미사용,계획 없음,,,,,,,
31,19005,강원본부,충청북도 제천시 대랑동 260ㅡ13,중앙선,7.0,활용,미사용,계획 없음,,,,,,,
32,19006,강원본부,충청북도 제천시 대랑동 260ㅡ14,중앙선,347.0,활용,미사용,계획 없음,,,,,,,
33,19007,강원본부,충청북도 제천시 대랑동 260ㅡ2,중앙선,126.0,활용,미사용,계획 없음,,,,,,,
34,19008,강원본부,충청북도 제천시 대랑동 260ㅡ3,중앙선,628.0,활용,미사용,계획 없음,,,,,,,
35,19009,강원본부,충청북도 제천시 대랑동 260ㅡ4,중앙선,3421.0,활용,미사용,계획 없음,,,,,,,
36,19010,강원본부,충청북도 제천시 대랑동 260ㅡ5,중앙선,20.0,활용,미사용,계획 없음,,,,,,,
37,19011,강원본부,충청북도 제천시 대랑동 260ㅡ8,중앙선,26.0,활용,미사용,계획 없음,,,,,,,
38,19012,강원본부,충청북도 제천시 대랑동 261ㅡ2,중앙선,747.0,활용,미사용,계획 없음,,,,,,,
39,19013,강원본부,충청북도 제천시 대랑동 261ㅡ4,중앙선,99.0,활용,미사용,계획 없음,,,,,,,
40,19014,강원본부,충청북도 제천시 대랑동 262ㅡ2,중앙선,40.0,활용,미사용,계획 없음,,,,,,,
41,19015,강원본부,충청북도 제천시 대랑동 267ㅡ1,중앙선,267.0,활용,미사용,계획 없음,,,,,,,
42,19016,강원본부,충청북도 제천시 대랑동 267ㅡ3,중앙선,361.0,활용,미사용,계획 없음,,,,,,,
43,19017,강원본부,충청북도 제천시 대랑동 285ㅡ1,중앙선,450.0,활용,미사용,계획 없음,,,,,,,
44,19018,강원본부,충청북도 제천시 대랑동 290ㅡ3,중앙선,592.0,활용,미사용,계획 없음,,,,,,,
45,19019,강원본부,충청북도 제천시 대랑동 291ㅡ2,중앙선,364.0,활용,미사용,계획 없음,,,,,,,
46,19020,강원본부,충청북도 제천시 대랑동 34ㅡ1,중앙선,364.0,활용,미사용,계획 없음,,,,,,,
47,19021,강원본부,충청북도 제천시 대랑동 35ㅡ2,중앙선,1494.0,활용,미사용,계획 없음,,,,,,,
48,19022,강원본부,충청북도 제천시 대랑동 41ㅡ4,중앙선,248.0,활용,미사용,계획 없음,,,,,,,
