,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항
5409,영남본부,부산광역시 부산진구 부암동 681ㅡ5,경부선,506.0,활용,미사용,없음
5410,영남본부,부산광역시 부산진구 부암동 682ㅡ10,경부선,3.0,활용,미사용,없음
5411,영남본부,부산광역시 부산진구 부암동 682ㅡ9,경부선,17.0,활용,미사용,없음
5420,영남본부,부산광역시 부산진구 부암동 686ㅡ1,경부선,3349.0,활용,미사용,없음
18970,강원본부,충청북도 제천시 고명동 340ㅡ1,중앙선,2396.0,활용,미사용,계획 없음
18971,강원본부,충청북도 제천시 고명동 341ㅡ2,중앙선,43.0,활용,미사용,계획 없음
18972,강원본부,충청북도 제천시 고명동 341ㅡ4,중앙선,60.0,활용,미사용,계획 없음
18974,강원본부,충청북도 제천시 고명동 371ㅡ1,중앙선,182.0,활용,미사용,계획 없음
18975,강원본부,충청북도 제천시 고명동 371ㅡ4,중앙선,704.0,활용,미사용,계획 없음
18976,강원본부,충청북도 제천시 고명동 372ㅡ1,중앙선,89.0,활용,미사용,계획 없음
18977,강원본부,충청북도 제천시 고명동 372ㅡ3,중앙선,50.0,활용,미사용,계획 없음
18978,강원본부,충청북도 제천시 고명동 373ㅡ2,중앙선,2708.0,활용,미사용,계획 없음
18979,강원본부,충청북도 제천시 고명동 378ㅡ2,중앙선,2357.0,활용,미사용,계획 없음
18980,강원본부,충청북도 제천시 고명동 378ㅡ3,중앙선,218.0,활용,미사용,계획 없음
18981,강원본부,충청북도 제천시 고명동 378ㅡ5,중앙선,407.0,활용,미사용,계획 없음
18982,강원본부,충청북도 제천시 고명동 381ㅡ2,중앙선,1884.0,활용,미사용,계획 없음
18983,강원본부,충청북도 제천시 고명동 386ㅡ3,중앙선,99.0,활용,미사용,계획 없음
18984,강원본부,충청북도 제천시 고명동 881ㅡ1,중앙선,73.0,활용,미사용,계획 없음
18986,강원본부,충청북도 제천시 고명동 산 36ㅡ2,중앙선,2083.0,활용,미사용,계획 없음
18987,강원본부,충청북도 제천시 고명동 산 36ㅡ3,중앙선,198.0,활용,미사용,계획 없음
18988,강원본부,충청북도 제천시 고명동 산 48ㅡ3,중앙선,2182.0,활용,미사용,계획 없음
18989,강원본부,충청북도 제천시 고명동 산 48ㅡ5,중앙선,496.0,활용,미사용,계획 없음
18990,강원본부,충청북도 제천시 고명동 산 49ㅡ3,중앙선,2876.0,활용,미사용,계획 없음
18991,강원본부,충청북도 제천시 고명동 산 49ㅡ5,중앙선,496.0,활용,미사용,계획 없음
18992,강원본부,충청북도 제천시 고명동 산 49ㅡ6,중앙선,1091.0,활용,미사용,계획 없음
18993,강원본부,충청북도 제천시 고명동 산 49ㅡ7,중앙선,496.0,활용,미사용,계획 없음
18994,강원본부,충청북도 제천시 대랑동 175ㅡ1,중앙선,321.0,활용,미사용,계획 없음
18995,강원본부,충청북도 제천시 대랑동 185ㅡ2,중앙선,500.0,활용,미사용,계획 없음
18997,강원본부,충청북도 제천시 대랑동 192,중앙선,1257.0,활용,미사용,계획 없음
19001,강원본부,충청북도 제천시 대랑동 223ㅡ6,중앙선,995.0,활용,미사용,계획 없음
19003,강원본부,충청북도 제천시 대랑동 254ㅡ2,중앙선,4367.0,활용,미사용,계획 없음
19005,강원본부,충청북도 제천시 대랑동 260ㅡ13,중앙선,7.0,활용,미사용,계획 없음
19006,강원본부,충청북도 제천시 대랑동 260ㅡ14,중앙선,347.0,활용,미사용,계획 없음
19007,강원본부,충청북도 제천시 대랑동 260ㅡ2,중앙선,126.0,활용,미사용,계획 없음
19008,강원본부,충청북도 제천시 대랑동 260ㅡ3,중앙선,628.0,활용,미사용,계획 없음
19009,강원본부,충청북도 제천시 대랑동 260ㅡ4,중앙선,3421.0,활용,미사용,계획 없음
19010,강원본부,충청북도 제천시 대랑동 260ㅡ5,중앙선,20.0,활용,미사용,계획 없음
19011,강원본부,충청북도 제천시 대랑동 260ㅡ8,중앙선,26.0,활용,미사용,계획 없음
19012,강원본부,충청북도 제천시 대랑동 261ㅡ2,중앙선,747.0,활용,미사용,계획 없음
19013,강원본부,충청북도 제천시 대랑동 261ㅡ4,중앙선,99.0,활용,미사용,계획 없음
19014,강원본부,충청북도 제천시 대랑동 262ㅡ2,중앙선,40.0,활용,미사용,계획 없음
19015,강원본부,충청북도 제천시 대랑동 267ㅡ1,중앙선,267.0,활용,미사용,계획 없음
19016,강원본부,충청북도 제천시 대랑동 267ㅡ3,중앙선,361.0,활용,미사용,계획 없음
19017,강원본부,충청북도 제천시 대랑동 285ㅡ1,중앙선,450.0,활용,미사용,계획 없음
19018,강원본부,충청북도 제천시 대랑동 290ㅡ3,중앙선,592.0,활용,미사용,계획 없음
19019,강원본부,충청북도 제천시 대랑동 291ㅡ2,중앙선,364.0,활용,미사용,계획 없음
19020,강원본부,충청북도 제천시 대랑동 34ㅡ1,중앙선,364.0,활용,미사용,계획 없음
19021,강원본부,충청북도 제천시 대랑동 35ㅡ2,중앙선,1494.0,활용,미사용,계획 없음
19022,강원본부,충청북도 제천시 대랑동 41ㅡ4,중앙선,248.0,활용,미사용,계획 없음
19023,강원본부,충청북도 제천시 대랑동 42ㅡ2,중앙선,635.0,활용,미사용,계획 없음
19025,강원본부,충청북도 제천시 대랑동 72ㅡ3,중앙선,922.0,활용,미사용,계획 없음
19026,강원본부,충청북도 제천시 대랑동 72ㅡ4,중앙선,387.0,활용,미사용,계획 없음
19027,강원본부,충청북도 제천시 대랑동 산 10ㅡ4,중앙선,694.0,활용,미사용,계획 없음
19028,강원본부,충청북도 제천시 대랑동 산 11ㅡ1,중앙선,992.0,활용,미사용,계획 없음
19029,강원본부,충청북도 제천시 대랑동 산 21ㅡ1,중앙선,22268.0,활용,미사용,계획 없음
19030,강원본부,충청북도 제천시 대랑동 산 27ㅡ1,중앙선,298.0,활용,미사용,계획 없음
19031,강원본부,충청북도 제천시 대랑동 산 27ㅡ3,중앙선,2182.0,활용,미사용,계획 없음
19032,강원본부,충청북도 제천시 대랑동 산 27ㅡ4,중앙선,793.0,활용,미사용,계획 없음
19033,강원본부,충청북도 제천시 대랑동 산 27ㅡ5,중앙선,298.0,활용,미사용,계획 없음
19034,강원본부,충청북도 제천시 대랑동 산 28ㅡ1,중앙선,69.0,활용,미사용,계획 없음
19035,강원본부,충청북도 제천시 대랑동 산 29ㅡ2,중앙선,1091.0,활용,미사용,계획 없음
19036,강원본부,충청북도 제천시 대랑동 산 29ㅡ4,중앙선,1686.0,활용,미사용,계획 없음
19038,강원본부,충청북도 제천시 대랑동 산 31ㅡ2,중앙선,5653.0,활용,미사용,계획 없음
19039,강원본부,충청북도 제천시 대랑동 산 38ㅡ2,중앙선,9520.0,활용,미사용,계획 없음
19042,강원본부,충청북도 단양군 매포읍 가평리 110ㅡ2,중앙선,1022.0,기타,미사용,계획 없음
19043,강원본부,충청북도 단양군 매포읍 가평리 111ㅡ1,중앙선,3666.0,기타,미사용,계획 없음
19044,강원본부,충청북도 단양군 매포읍 가평리 113ㅡ1,중앙선,1448.0,기타,미사용,계획 없음
19045,강원본부,충청북도 단양군 매포읍 가평리 115ㅡ1,중앙선,96.0,기타,미사용,계획 없음
19046,강원본부,충청북도 단양군 매포읍 가평리 118ㅡ2,중앙선,10.0,기타,미사용,계획 없음
19047,강원본부,충청북도 단양군 매포읍 가평리 119ㅡ1,중앙선,764.0,기타,미사용,계획 없음
19048,강원본부,충청북도 단양군 매포읍 가평리 119ㅡ3,중앙선,89.0,기타,미사용,계획 없음
19049,강원본부,충청북도 단양군 매포읍 가평리 120ㅡ2,중앙선,1008.0,기타,미사용,계획 없음
19050,강원본부,충청북도 단양군 매포읍 가평리 121ㅡ2,중앙선,13.0,기타,미사용,계획 없음
19051,강원본부,충청북도 단양군 매포읍 가평리 121ㅡ3,중앙선,139.0,기타,미사용,계획 없음
19052,강원본부,충청북도 단양군 매포읍 가평리 122ㅡ2,중앙선,56.0,기타,미사용,계획 없음
19053,강원본부,충청북도 단양군 매포읍 가평리 285ㅡ2,중앙선,707.0,기타,미사용,계획 없음
19054,강원본부,충청북도 단양군 매포읍 가평리 285ㅡ3,중앙선,56.0,기타,미사용,계획 없음
19055,강원본부,충청북도 단양군 매포읍 가평리 288ㅡ12,중앙선,43.0,기타,미사용,계획 없음
19056,강원본부,충청북도 단양군 매포읍 가평리 288ㅡ4,중앙선,1094.0,기타,미사용,계획 없음
19057,강원본부,충청북도 단양군 매포읍 가평리 288ㅡ5,중앙선,93.0,기타,미사용,계획 없음
19058,강원본부,충청북도 단양군 매포읍 가평리 289ㅡ4,중앙선,112.0,기타,미사용,계획 없음
19059,강원본부,충청북도 단양군 매포읍 가평리 289ㅡ5,중앙선,53.0,기타,미사용,계획 없음
19060,강원본부,충청북도 단양군 매포읍 가평리 289ㅡ7,중앙선,73.0,기타,미사용,계획 없음
19061,강원본부,충청북도 단양군 매포읍 가평리 290,중앙선,635.0,기타,미사용,계획 없음
19062,강원본부,충청북도 단양군 매포읍 가평리 475ㅡ7,중앙선,382.0,기타,미사용,계획 없음
19063,강원본부,충청북도 단양군 매포읍 가평리 476ㅡ3,중앙선,522.0,기타,미사용,계획 없음
19064,강원본부,충청북도 단양군 매포읍 가평리 482ㅡ8,중앙선,183.0,기타,미사용,계획 없음
19065,강원본부,충청북도 단양군 매포읍 가평리 483ㅡ3,중앙선,76.0,기타,미사용,계획 없음
19066,강원본부,충청북도 단양군 매포읍 가평리 483ㅡ4,중앙선,393.0,기타,미사용,계획 없음
19067,강원본부,충청북도 단양군 매포읍 가평리 산 24ㅡ1,중앙선,7828.0,기타,미사용,계획 없음
19068,강원본부,충청북도 단양군 매포읍 가평리 산 47ㅡ1,중앙선,298.0,기타,미사용,계획 없음
19069,강원본부,충청북도 단양군 매포읍 가평리 산 47ㅡ3,중앙선,50.0,기타,미사용,계획 없음
19070,강원본부,충청북도 단양군 매포읍 가평리 산 48ㅡ1,중앙선,4066.0,기타,미사용,계획 없음
19071,강원본부,충청북도 단양군 매포읍 고양리 352ㅡ2,중앙선,73.0,기타,미사용,계획 없음
19072,강원본부,충청북도 단양군 매포읍 고양리 352ㅡ23,중앙선,72.0,기타,미사용,계획 없음
19073,강원본부,충청북도 단양군 매포읍 고양리 352ㅡ3,중앙선,153.0,기타,미사용,계획 없음
19074,강원본부,충청북도 단양군 매포읍 고양리 352ㅡ5,중앙선,40.0,기타,미사용,계획 없음
19075,강원본부,충청북도 단양군 매포읍 고양리 353ㅡ1,중앙선,56.0,기타,미사용,계획 없음
19076,강원본부,충청북도 단양군 매포읍 고양리 353ㅡ2,중앙선,13.0,기타,미사용,계획 없음
19077,강원본부,충청북도 단양군 매포읍 고양리 354ㅡ3,중앙선,33.0,기타,미사용,계획 없음
19078,강원본부,충청북도 단양군 매포읍 고양리 354ㅡ5,중앙선,33.0,기타,미사용,계획 없음
19079,강원본부,충청북도 단양군 매포읍 고양리 354ㅡ6,중앙선,33.0,기타,미사용,계획 없음
19080,강원본부,충청북도 단양군 매포읍 고양리 368ㅡ2,중앙선,56.0,기타,미사용,계획 없음
19081,강원본부,충청북도 단양군 매포읍 고양리 368ㅡ3,중앙선,43.0,기타,미사용,계획 없음
19082,강원본부,충청북도 단양군 매포읍 고양리 369ㅡ2,중앙선,1874.0,기타,미사용,계획 없음
19083,강원본부,충청북도 단양군 매포읍 고양리 371ㅡ1,중앙선,450.0,기타,미사용,계획 없음
19084,강원본부,충청북도 단양군 매포읍 고양리 371ㅡ3,중앙선,202.0,기타,미사용,계획 없음
19085,강원본부,충청북도 단양군 매포읍 고양리 371ㅡ6,중앙선,356.0,기타,미사용,계획 없음
19086,강원본부,충청북도 단양군 매포읍 고양리 372ㅡ3,중앙선,940.0,기타,미사용,계획 없음
19087,강원본부,충청북도 단양군 매포읍 고양리 372ㅡ4,중앙선,365.0,기타,미사용,계획 없음
19088,강원본부,충청북도 단양군 매포읍 고양리 372ㅡ8,중앙선,121.0,기타,미사용,계획 없음
19089,강원본부,충청북도 단양군 매포읍 고양리 372ㅡ9,중앙선,169.0,기타,미사용,계획 없음
19090,강원본부,충청북도 단양군 매포읍 고양리 373ㅡ15,중앙선,433.0,기타,미사용,계획 없음
19092,강원본부,충청북도 단양군 매포읍 고양리 373ㅡ4,중앙선,175.0,기타,미사용,계획 없음
19093,강원본부,충청북도 단양군 매포읍 고양리 373ㅡ6,중앙선,543.0,기타,미사용,계획 없음
19094,강원본부,충청북도 단양군 매포읍 고양리 374ㅡ1,중앙선,46.0,기타,미사용,계획 없음
19095,강원본부,충청북도 단양군 매포읍 고양리 375ㅡ13,중앙선,405.0,기타,미사용,계획 없음
19096,강원본부,충청북도 단양군 매포읍 고양리 375ㅡ15,중앙선,10.0,기타,미사용,계획 없음
19098,강원본부,충청북도 단양군 매포읍 고양리 375ㅡ7,중앙선,300.0,기타,미사용,계획 없음
19099,강원본부,충청북도 단양군 매포읍 고양리 375ㅡ8,중앙선,93.0,기타,미사용,계획 없음
19100,강원본부,충청북도 단양군 매포읍 고양리 산 1ㅡ2,중앙선,1190.0,기타,미사용,계획 없음
19101,강원본부,충청북도 단양군 매포읍 고양리 산 31ㅡ2,중앙선,3967.0,기타,미사용,계획 없음
19103,강원본부,충청북도 단양군 매포읍 김산리 243ㅡ5,중앙선,258.0,기타,미사용,계획 없음
19104,강원본부,충청북도 단양군 매포읍 김산리 244ㅡ1,중앙선,281.0,기타,미사용,계획 없음
19105,강원본부,충청북도 단양군 매포읍 김산리 244ㅡ2,중앙선,635.0,기타,미사용,계획 없음
19106,강원본부,충청북도 단양군 매포읍 김산리 245ㅡ2,중앙선,331.0,기타,미사용,계획 없음
19107,강원본부,충청북도 단양군 매포읍 김산리 245ㅡ3,중앙선,165.0,기타,미사용,계획 없음
19108,강원본부,충청북도 단양군 매포읍 김산리 245ㅡ4,중앙선,585.0,기타,미사용,계획 없음
19112,강원본부,충청북도 단양군 매포읍 삼곡리 429ㅡ10,중앙선,873.0,기타,미사용,계획 없음
19113,강원본부,충청북도 단양군 매포읍 삼곡리 435ㅡ1,중앙선,685.0,기타,미사용,계획 없음
19114,강원본부,충청북도 단양군 매포읍 삼곡리 산 4ㅡ2,중앙선,893.0,기타,미사용,계획 없음
19115,강원본부,충청북도 단양군 매포읍 삼곡리 산 4ㅡ3,중앙선,33.0,기타,미사용,계획 없음
