map_size,sigma,learning_rate,init_method,qe,n_cluster
5x5,0.8,0.3,pca_init,0.4722194492608714,25
5x5,0.7,0.6,random_init,0.4793431771357255,25
5x5,0.6,0.5,random_init,0.47955987176749865,25
5x5,0.1,0.2,random_init,0.4805832801025805,25
5x5,0.2,0.2,random_init,0.4805832856649957,25
5x5,0.3,0.2,random_init,0.48059889470515055,25
5x5,0.4,0.7,random_init,0.48078110090068177,25
5x5,0.9,0.5,pca_init,0.4809827133434844,25
5x5,0.7,0.4,pca_init,0.48256734255521416,25
5x5,0.6,0.7,pca_init,0.48259539919052397,25
5x5,0.9,0.4,pca_init,0.4828692644644701,25
5x5,0.5,0.7,random_init,0.48410553173190246,25
5x5,0.7,0.7,pca_init,0.4847426652331028,25
5x5,0.6,0.9,random_init,0.4850433125024198,25
5x5,0.6,0.6,pca_init,0.48634053564825835,25
5x5,0.4,0.9,random_init,0.48640145606063945,25
5x5,0.8,0.8,random_init,0.4865023129241847,25
5x5,0.8,0.6,pca_init,0.48652014605567484,25
5x5,0.9,0.3,pca_init,0.486538941165588,25
5x5,0.8,0.7,pca_init,0.4866244828521427,25
5x5,0.7,0.3,pca_init,0.4867745667542813,25
5x5,0.6,0.6,random_init,0.4867838669922383,25
5x5,0.6,0.5,pca_init,0.4868101897726156,25
5x5,0.4,0.4,random_init,0.4870797181104269,25
5x5,0.5,0.6,random_init,0.4874609801946276,25
5x5,0.5,0.9,random_init,0.48799361202367725,25
5x5,0.6,0.4,random_init,0.48822912718112943,25
5x5,0.9,0.9,random_init,0.4882363862677863,25
5x5,0.9,0.2,pca_init,0.488869094440771,25
5x5,0.8,0.4,pca_init,0.4890422243842463,25
5x5,0.8,0.6,random_init,0.48909913065268223,25
5x5,0.7,0.7,random_init,0.4900303061889074,25
5x5,0.8,0.4,random_init,0.4901126622230869,25
5x5,0.6,0.4,pca_init,0.49016243213437666,24
5x5,0.7,0.8,random_init,0.4902258405168497,25
5x5,0.9,0.7,random_init,0.4903800421783686,25
5x5,0.9,0.6,random_init,0.49192386078224143,25
5x5,0.7,0.9,random_init,0.49195333420595283,25
5x5,0.6,0.7,random_init,0.49238422832260925,25
5x5,0.9,0.7,pca_init,0.4926490900246278,25
