area,capacity,realty_price,insolation,generation_quantity,economic_feasibility,result
463,35.0,3460.0,3.54,738001.0,142469.0,1
136,10.0,3460.0,3.54,210857.0,38472.0,1
1365,105.0,3460.0,3.54,2214010.0,425693.0,2
359,27.0,146000.0,3.54,569323.0,103878.0,3
30,2.0,58900.0,3.54,42169.0,7694.0,1
765,58.0,58900.0,3.54,1222980.0,236093.0,2
192,14.0,58900.0,3.54,295202.0,53862.0,1
559,43.0,58900.0,3.54,906696.0,175035.0,1
22,1.0,58900.0,3.54,21081.0,3846.0,1
28,2.0,58900.0,3.54,42169.0,7694.0,1
99,7.0,3960.0,3.54,147597.0,26930.0,1
198,15.0,3960.0,3.54,316287.0,57709.0,1
295,22.0,136300.0,3.64,477840.0,87186.0,3
365,28.0,118500.0,3.64,608168.0,110965.0,3
975,75.0,130400.0,3.64,1629004.0,314475.0,2
1842,141.0,139900.0,3.64,3062527.0,577204.0,2
440,33.0,118400.0,3.64,716764.0,138369.0,3
340,26.0,118400.0,3.64,564721.0,103038.0,3
146,11.0,139900.0,3.64,238923.0,43593.0,3
284,21.0,139900.0,3.64,456126.0,69115.0,3
15,1.0,139900.0,3.64,21716.0,3962.0,3
18,1.0,139900.0,3.64,21716.0,3962.0,3
456,35.0,139900.0,3.64,760203.0,146755.0,3
134,10.0,139900.0,3.64,217197.0,39629.0,3
48,3.0,139900.0,3.64,65159.0,11888.0,3
24,1.0,139900.0,3.64,21716.0,3962.0,3
30,2.0,139900.0,3.64,43440.0,7926.0,3
51,3.0,139900.0,3.64,65159.0,11888.0,3
40,3.0,115700.0,3.64,65159.0,11888.0,3
20,1.0,115100.0,3.64,21716.0,3962.0,3
105,8.0,115100.0,3.64,173760.0,31704.0,3
35,2.0,25700.0,3.6,42933.0,7833.0,1
1402,107.0,25700.0,3.6,2296805.0,440900.0,2
1024,78.0,25700.0,3.6,1674304.0,323221.0,2
391,30.0,25700.0,3.6,643966.0,124316.0,1
216,16.0,21900.0,3.6,343444.0,62664.0,1
274,21.0,141000.0,3.6,450777.0,82248.0,3
54,4.0,141000.0,3.6,85858.0,15665.0,3
198,15.0,141000.0,3.6,321985.0,58749.0,3
188,14.0,28200.0,3.6,300516.0,54831.0,1
118,9.0,28200.0,3.6,193196.0,35250.0,1
125,9.0,28200.0,3.6,193196.0,35250.0,1
98,7.0,33900.0,3.6,150260.0,27416.0,1
277,21.0,25700.0,3.6,450777.0,82248.0,1
83,6.0,25700.0,3.6,128792.0,23499.0,1
43,3.0,28200.0,3.6,64397.0,11749.0,1
238,18.0,28200.0,3.6,386373.0,70497.0,1
23,1.0,23500.0,3.6,21462.0,3915.0,1
17,1.0,23500.0,3.6,21462.0,3915.0,1
13,1.0,23500.0,3.6,21462.0,3915.0,1
