,지역본부,재산 소재지,노선명, 면적(공부) ,유형분류,현재 사용현황,향후 사용계획 및 추진사항,plan_category
15588,호남본부,전라북도 전주시 덕진구 반월동 520,전라선,3921.0,기타,미사용,-,계획없음
15589,호남본부,전라북도 전주시 덕진구 반월동 545,전라선,1028.0,기타,미사용,-,계획없음
15590,호남본부,전라북도 전주시 덕진구 반월동 551,전라선,1118.0,기타,미사용,-,계획없음
15591,호남본부,전라북도 전주시 덕진구 반월동 552,전라선,410.0,기타,미사용,-,계획없음
15592,호남본부,전라북도 전주시 덕진구 반월동 561,전라선,3756.0,기타,미사용,-,계획없음
15593,호남본부,전라북도 전주시 덕진구 반월동 563ㅡ1,전라선,2938.0,기타,미사용,-,계획없음
15594,호남본부,전라북도 전주시 덕진구 반월동 95,전라선,1537.0,기타,미사용,-,계획없음
15596,호남본부,전라북도 전주시 덕진구 화전동 164,전라선,4092.0,기타,미사용,-,계획없음
15597,호남본부,전라북도 전주시 덕진구 화전동 488ㅡ8,전라선,823.0,기타,미사용,-,계획없음
15598,호남본부,전라북도 전주시 덕진구 화전동 493ㅡ2,전라선,4635.0,기타,미사용,-,계획없음
15599,호남본부,전라북도 전주시 덕진구 화전동 495ㅡ2,전라선,367.0,기타,미사용,-,계획없음
15600,호남본부,전라북도 전주시 덕진구 화전동 503ㅡ1,전라선,69.0,기타,미사용,-,계획없음
15601,호남본부,전라북도 전주시 덕진구 화전동 975ㅡ16,전라선,175.0,기타,미사용,-,계획없음
715,수도권본부,경기도 가평군 청평면 대성리 349ㅡ2,경춘선,463.0,활용,운행선 인근부지,미사용,계획없음
716,수도권본부,경기도 가평군 청평면 대성리 349ㅡ4,경춘선,136.0,활용,운행선 인근부지,미사용,계획없음
717,수도권본부,경기도 가평군 청평면 대성리 350ㅡ1,경춘선,1365.0,활용,운행선 인근부지,미사용,계획없음
735,수도권본부,경기도 가평군 청평면 대성리 383ㅡ91,경춘선,359.0,활용,운행선 인근부지,미사용,계획없음
737,수도권본부,경기도 가평군 청평면 대성리 395ㅡ8,경춘선,30.0,활용,운행선 인근부지,미사용,계획없음
742,수도권본부,경기도 가평군 청평면 대성리 599ㅡ22,경춘선,765.0,활용,운행선 인근부지,미사용,계획없음
743,수도권본부,경기도 가평군 청평면 대성리 599ㅡ23,경춘선,192.0,활용,운행선 인근부지,미사용,계획없음
746,수도권본부,경기도 가평군 청평면 대성리 604ㅡ13,경춘선,559.0,활용,운행선 인근부지,미사용,계획없음
777,수도권본부,경기도 가평군 청평면 대성리 804ㅡ8,경춘선,22.0,활용,운행선 인근부지,미사용,계획없음
778,수도권본부,경기도 가평군 청평면 대성리 804ㅡ9,경춘선,28.0,활용,운행선 인근부지,미사용,계획없음
811,수도권본부,경기도 가평군 청평면 대성리 산 180ㅡ2,경춘선,99.0,활용,운행선 인근부지,미사용,계획없음
